INSTANCE_ID,MEDIAN_MEASURED_RUNLENGTH,MEDIAN_MEASURED_RUNTIME,MEDIAN_COMPUTED_RUNTIME,capped,Solution,NOISE,RANDOM_WALK_PROB,nvars,nclauses,vars_clauses_ratio,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_max,VCG_CLAUSE_entropy,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_max,BINARY_PLUS,TRINARY_PLUS,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,vars_reduced_depth_4,vars_reduced_depth_16,vars_reduced_depth_64,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_BestStep_Mean,saps_BestStep_CoeffVariance,saps_AvgImproveToBest_Mean,saps_AvgImproveToBest_CoeffVariance,saps_FirstLMRatio_Mean,saps_FirstLMRatio_CoeffVariance,saps_BestCV_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_BestStep_Mean,gsat_BestStep_CoeffVariance,gsat_AvgImproveToBest_CoeffVariance,gsat_BestCV_Mean,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars
5151975,161818,0.105,0.101175,0,1,10.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151975,132579,0.085,0.083517,0,1,20.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151975,9891.5,0.005,0.00657872,0,1,30.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151975,5222.5,0.005,0.00352215,0,1,40.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151975,3294.5,0,0.00224274,0,1,50.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151975,2741,0,0.00214415,0,1,60.0000,0.010000,500,2000,0.25,0.0015,0.0115,2.63714851,0.006,0,0.006,0,0.490666667,0.192278791,1,0,1,0.436969918,0,0.008,2.30583528,0.4865,0.01171,0.288837927,0.003,0,0.008,0.26,11.164,0.400159598,282.9656,0.229728342,0.884182136,0.216073447,0.855295725,0.0344238362,0.387800131,10.0137,0.320287584,824.7528,0.339733851,0.37088914,0.407789468,0.332656133,0.614254938
5151976,701972,0.455,0.424789,0,1,10.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151976,133802,0.085,0.0808328,0,1,20.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151976,18369.5,0.015,0.012228,0,1,30.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151976,20567.5,0.015,0.0139823,0,1,40.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151976,8594,0.005,0.00650913,0,1,50.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151976,3862,0,0.00298348,0,1,60.0000,0.010000,500,2000,0.25,0.0015,0.012,2.60986009,0.006,0,0.006,0,0.503,0.191743299,1,0,1,0.394399795,0.0005,0.007,2.26188302,0.505,0.011726,0.277088695,0.003,0,0.008,0.222,13.0879,0.359045143,281.642,0.235008716,0.883044487,0.220078409,0.853946105,0.0355736597,0.362077903,11.5064,0.286837051,828.6532,0.343059604,0.374145699,0.388103001,0.332236933,0.6042547
5151977,1.66121e+07,9.635,9.92573,0,1,10.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
5151977,210148,0.125,0.134882,0,1,20.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
5151977,29733.5,0.025,0.0186469,0,1,30.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
5151977,13015,0.015,0.0092065,0,1,40.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
5151977,9735,0.01,0.00717688,0,1,50.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
5151977,7422.5,0.01,0.00536196,0,1,60.0000,0.010000,500,2000,0.25,0.0005,0.0105,2.58742675,0.006,0,0.006,0,0.513,0.187987629,1,0,1,0.389300605,0.0005,0.0075,2.22209371,0.492,0.011714,0.273979263,0.001,0,0,0.13,13.5846,0.350644987,284.1348,0.228831278,0.871632511,0.213929196,0.848382912,0.0367513675,0.36141544,11.4661,0.298757536,842.061,0.343501556,0.369969263,0.394802684,0.331205,0.599425535
